,Note,Frequency (Hz),FreqReg,(hex),,FCLK,2^28
3,C4,523.251130601197,1873,0751,,75000000,268435456
4,C#4,554.365261953744,1984,07C0,,,
5,D4,587.329535834815,2102,0836,,MAX VAL REPRESENTABLE IN LSB,
6,D#4,622.253967444162,2227,08B3,,16383,
7,E4,659.25511382574,2360,0938,,3FFF,
8,F4,698.456462866008,2500,09C4,,,
9,F#4,739.988845423269,2649,0A59,,,
10,G4,783.990871963499,2806,0AF6,,,
11,G#4,830.60939515989,2973,0B9D,,,
12,A4,880,3150,0C4E,,,
13,A#4,932.32752303618,3337,0D09,,,
14,B4,987.766602512248,3535,0DCF,,,
15,C5,1046.50226120239,3746,0EA2,,,
16,C#5,1108.73052390749,3968,0F80,,,
17,D5,1174.65907166963,4204,106C,,,
18,D#5,1244.50793488832,4454,1166,,,
19,E5,1318.51022765148,4719,126F,,,
20,F5,1396.91292573202,5000,1388,,,
21,F#5,1479.97769084654,5297,14B1,,,
22,G5,1567.981743927,5612,15EC,,,
23,G#5,1661.21879031978,5946,173A,,,
24,A5,1760,6299,189B,,,
25,A#5,1864.65504607236,6674,1A12,,,
26,B5,1975.5332050245,7071,1B9F,,,
